Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,9349692685,2010,
"""Vegetable Products""",2,30294543539,2010,
"""Animal and Vegetable Bi-Products""",3,8745646794,2010,
"""Foodstuffs""",4,9853864007,2010,
"""Mineral Products""",5,2.65E+11,2010,
"""Chemical Products""",6,86640962970,2010,
"""Plastics and Rubbers""",7,70580255939,2010,
"""Animal Hides""",8,7013761318,2010,
"""Wood Products""",9,10060302194,2010,
"""Paper Goods""",10,17466301273,2010,
"""Textiles""",11,25846898247,2010,
"""Footwear and Headwear""",12,1027212025,2010,
"""Stone And Glass""",13,5688706987,2010,
"""Precious Metals""",14,11225457042,2010,
"""Metals""",15,95650529928,2010,
"""Machines""",16,3.37E+11,2010,
"""Transportation""",17,66526124912,2010,
"""Instruments""",18,73787735375,2010,
"""Weapons""",19,29586766.96,2010,
"""Miscellaneous""",20,3994365967,2010,
"""Arts and Antiques""",21,117313002.7,2010,
"""Animal Products""",1,12821709907,2011,
"""Vegetable Products""",2,37860989284,2011,
"""Animal and Vegetable Bi-Products""",3,10962348369,2011,
"""Foodstuffs""",4,12662734019,2011,
"""Mineral Products""",5,3.84E+11,2011,
"""Chemical Products""",6,1.10E+11,2011,
"""Plastics and Rubbers""",7,82621815061,2011,
"""Animal Hides""",8,8567525083,2011,
"""Wood Products""",9,13437314893,2011,
"""Paper Goods""",10,21833910863,2011,
"""Textiles""",11,32976124198,2011,
"""Footwear and Headwear""",12,1418683881,2011,
"""Stone And Glass""",13,6527830131,2011,
"""Precious Metals""",14,31123967650,2011,
"""Metals""",15,1.09E+11,2011,
"""Machines""",16,3.71E+11,2011,
"""Transportation""",17,84023438386,2011,
"""Instruments""",18,81013510564,2011,
"""Weapons""",19,15231798.96,2011,
"""Miscellaneous""",20,5303906174,2011,
"""Arts and Antiques""",21,201911145.2,2011,
"""Animal Products""",1,14383683428,2012,
"""Vegetable Products""",2,46464423904,2012,
"""Animal and Vegetable Bi-Products""",3,11959159572,2012,
"""Foodstuffs""",4,14060617555,2012,
"""Mineral Products""",5,3.93E+11,2012,
"""Chemical Products""",6,1.08E+11,2012,
"""Plastics and Rubbers""",7,77376949333,2012,
"""Animal Hides""",8,9100128544,2012,
"""Wood Products""",9,12921029777,2012,
"""Paper Goods""",10,20789612892,2012,
"""Textiles""",11,36111163042,2012,
"""Footwear and Headwear""",12,1669086107,2012,
"""Stone And Glass""",13,6878444058,2012,
"""Precious Metals""",14,58747160843,2012,
"""Metals""",15,1.02E+11,2012,
"""Machines""",16,3.86E+11,2012,
"""Transportation""",17,87230823810,2012,
"""Instruments""",18,88010403976,2012,
"""Weapons""",19,14106496.1,2012,
"""Miscellaneous""",20,4466536778,2012,
"""Arts and Antiques""",21,153069879.8,2012,
"""Animal Products""",1,19080616215,2013,
"""Vegetable Products""",2,52934021536,2013,
"""Animal and Vegetable Bi-Products""",3,10084221056,2013,
"""Foodstuffs""",4,15884989638,2013,
"""Mineral Products""",5,4.24E+11,2013,
"""Chemical Products""",6,1.15E+11,2013,
"""Plastics and Rubbers""",7,81074008988,2013,
"""Animal Hides""",8,9740690467,2013,
"""Wood Products""",9,16520892769,2013,
"""Paper Goods""",10,21270930374,2013,
"""Textiles""",11,35809244298,2013,
"""Footwear and Headwear""",12,1773482321,2013,
"""Stone And Glass""",13,7209583776,2013,
"""Precious Metals""",14,97384500776,2013,
"""Metals""",15,97736546913,2013,
"""Machines""",16,3.99E+11,2013,
"""Transportation""",17,1.00E+11,2013,
"""Instruments""",18,87349675101,2013,
"""Weapons""",19,8738959.411,2013,
"""Miscellaneous""",20,4654499356,2013,
"""Arts and Antiques""",21,321659200.8,2013,
"""Animal Products""",1,20026238905,2014,
"""Vegetable Products""",2,55848314215,2014,
"""Animal and Vegetable Bi-Products""",3,8051988056,2014,
"""Foodstuffs""",4,15780681268,2014,
"""Mineral Products""",5,4.06E+11,2014,
"""Chemical Products""",6,1.15E+11,2014,
"""Plastics and Rubbers""",7,78685779547,2014,
"""Animal Hides""",8,10249704660,2014,
"""Wood Products""",9,19693503692,2014,
"""Paper Goods""",10,21124621192,2014,
"""Textiles""",11,31258323593,2014,
"""Footwear and Headwear""",12,2072193972,2014,
"""Stone And Glass""",13,8010486381,2014,
"""Precious Metals""",14,72865689612,2014,
"""Metals""",15,93467553511,2014,
"""Machines""",16,3.48E+11,2014,
"""Transportation""",17,1.19E+11,2014,
"""Instruments""",18,80518108396,2014,
"""Weapons""",19,12810808.59,2014,
"""Miscellaneous""",20,5044153952,2014,
"""Arts and Antiques""",21,437546367.1,2014,
"""Animal Products""",1,18393365575,2015,
"""Vegetable Products""",2,54615608459,2015,
"""Animal and Vegetable Bi-Products""",3,7528030626,2015,
"""Foodstuffs""",4,18539211739,2015,
"""Mineral Products""",5,2.63E+11,2015,
"""Chemical Products""",6,1.02E+11,2015,
"""Plastics and Rubbers""",7,68404618988,2015,
"""Animal Hides""",8,9588895211,2015,
"""Wood Products""",9,15719789479,2015,
"""Paper Goods""",10,21731180291,2015,
"""Textiles""",11,27475943603,2015,
"""Footwear and Headwear""",12,2516424286,2015,
"""Stone And Glass""",13,8033760162,2015,
"""Precious Metals""",14,59903793627,2015,
"""Metals""",15,81310955168,2015,
"""Machines""",16,3.24E+11,2015,
"""Transportation""",17,96806930410,2015,
"""Instruments""",18,76150404319,2015,
"""Weapons""",19,14271931.47,2015,
"""Miscellaneous""",20,4885508907,2015,
"""Arts and Antiques""",21,235217006.2,2015,
"""Animal Products""",1,21871920603,2016,
"""Vegetable Products""",2,53056487703,2016,
"""Animal and Vegetable Bi-Products""",3,6587538988,2016,
"""Foodstuffs""",4,19194909966,2016,
"""Mineral Products""",5,2.45E+11,2016,
"""Chemical Products""",6,95555052954,2016,
"""Plastics and Rubbers""",7,64197141846,2016,
"""Animal Hides""",8,7679898225,2016,
"""Wood Products""",9,17043370205,2016,
"""Paper Goods""",10,21676409793,2016,
"""Textiles""",11,25237934569,2016,
"""Footwear and Headwear""",12,2753199705,2016,
"""Stone And Glass""",13,8045960994,2016,
"""Precious Metals""",14,57206142158,2016,
"""Metals""",15,74053043024,2016,
"""Machines""",16,3.16E+11,2016,
"""Transportation""",17,97729137669,2016,
"""Instruments""",18,74343015018,2016,
"""Weapons""",19,18023884.06,2016,
"""Miscellaneous""",20,4855439128,2016,
"""Arts and Antiques""",21,253094243.5,2016,
"""Animal Products""",1,23119453817,2017,
"""Vegetable Products""",2,58634879480,2017,
"""Animal and Vegetable Bi-Products""",3,7659034030,2017,
"""Foodstuffs""",4,22163647279,2017,
"""Mineral Products""",5,3.34E+11,2017,
"""Chemical Products""",6,1.15E+11,2017,
"""Plastics and Rubbers""",7,79926043148,2017,
"""Animal Hides""",8,7918745415,2017,
"""Wood Products""",9,20552016047,2017,
"""Paper Goods""",10,25607523396,2017,
"""Textiles""",11,28402672521,2017,
"""Footwear and Headwear""",12,3344972932,2017,
"""Stone And Glass""",13,7739306976,2017,
"""Precious Metals""",14,48226510858,2017,
"""Metals""",15,87281482009,2017,
"""Machines""",16,4.60E+11,2017,
"""Transportation""",17,1.05E+11,2017,
"""Instruments""",18,89879043145,2017,
"""Weapons""",19,19290858.36,2017,
"""Miscellaneous""",20,5832352990,2017,
"""Arts and Antiques""",21,136249852.9,2017,
"""Animal Products""",1,28689106051,2018,
"""Vegetable Products""",2,59892802649,2018,
"""Animal and Vegetable Bi-Products""",3,8143758043,2018,
"""Foodstuffs""",4,25418983795,2018,
"""Mineral Products""",5,4.38E+11,2018,
"""Chemical Products""",6,1.41E+11,2018,
"""Plastics and Rubbers""",7,82961395270,2018,
"""Animal Hides""",8,7418170518,2018,
"""Wood Products""",9,22026510250,2018,
"""Paper Goods""",10,30008402386,2018,
"""Textiles""",11,30898335849,2018,
"""Footwear and Headwear""",12,4244917622,2018,
"""Stone And Glass""",13,8147665681,2018,
"""Precious Metals""",14,48362507025,2018,
"""Metals""",15,95787480386,2018,
"""Machines""",16,4.63E+11,2018,
"""Transportation""",17,1.15E+11,2018,
"""Instruments""",18,96805632157,2018,
"""Weapons""",19,19776315.13,2018,
"""Miscellaneous""",20,6309839946,2018,
"""Arts and Antiques""",21,277419606.2,2018,
,,,,
"""Machines""",,44800,,Australia
"""Machines""",,18700,,Russia
"""Machines""",,14900,,Saudi Arabia
"""Machines""",,12300,,Angola
"""Machines""",,12000,,Brazil
"""Mineral Products""",,20200,,Switzerland
"""Mineral Products""",,11100,,South Africa
"""Mineral Products""",,10800,,Hong Kong
"""Mineral Products""",,7660,,Australia
"""Mineral Products""",,2090,,Singapore
"""Transportation""",,3160,,New Zealand
"""Transportation""",,2130,,United States
"""Transportation""",,1780,,Brazil
"""Transportation""",,1320,,Germany
"""Transportation""",,1080,,Russia
"""Chemical Products""",,16700,,United States
"""Chemical Products""",,14400,,Brazil
"""Chemical Products""",,3240,,Canada
"""Chemical Products""",,2850,,Argentina
"""Chemical Products""",,2780,,Thailand
